### Module positions - created on 2025-07-28 10:51
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 100.050mm, Pcb Width 160.053mm [based on Edge bounding box]
## Side : ALL
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
D8            1N4148WT            D_SOD-523                     136.5619   -96.1485   136.5619   -96.8485      9.0    top       SMD
D9            1N4148WT            D_SOD-523                     128.5673   -48.0355   128.5673   -47.3355     -9.0    top       SMD
D10           1N4148WT            D_SOD-523                     120.5673   -48.0355   120.5673   -47.3355     -9.0    top       SMD
D11           1N4148WT            D_SOD-523                     112.5673   -48.0355   112.5673   -47.3355     -9.0    top       SMD
D12           1N4148WT            D_SOD-523                     112.5673   -65.5010   112.5673   -66.2010      9.0    top       SMD
D13           1N4148WT            D_SOD-523                     136.5673   -48.0355   136.5673   -47.3355     -9.0    top       SMD
D14           1N4148WT            D_SOD-523                     120.5673   -65.4385   120.5673   -66.1385      9.0    top       SMD
D15           1N4148WT            D_SOD-523                     128.5673   -65.5010   128.5673   -66.2010      9.0    top       SMD
D16           1N4148WT            D_SOD-523                     136.5673   -65.5010   136.5673   -66.2010      9.0    top       SMD
D17           SMAJ12CA            D_SMA                         170.6000   -112.4000  168.6000   -112.4000     0.0    top       SMD
D18           SMAJ12CA            D_SMA                         178.8000   -112.4000  176.8000   -112.4000     0.0    top       SMD
D19           SMAJ12CA            D_SMA                         167.4500   -100.0000  165.4500   -100.0000     0.0    top       SMD
D20           SMAJ12CA            D_SMA                         184.2000   -100.0000  182.2000   -100.0000     0.0    top       SMD
D21           SMAJ12CA            D_SMA                         187.8000   -112.4000  185.8000   -112.4000     0.0    top       SMD
D22           SMAJ12CA            D_SMA                         196.8500   -112.4000  194.8500   -112.4000     0.0    top       SMD
D23           SMAJ12CA            D_SMA                         193.2000   -100.0000  191.2000   -100.0000     0.0    top       SMD
D26           SMAJ12CA            D_SMA                         175.8000   -100.0000  173.8000   -100.0000     0.0    top       SMD
LD1           LED_Small           LED_0805_2012Metric_Pad1.15.. 72.7000    -104.9125  72.7000    -103.8875    -9.0    top       SMD
LD2           LED_Small           LED_0805_2012Metric_Pad1.15.. 72.5000    -50.5875   72.5000    -51.6125      9.0    top       SMD
LD3           LED_Small           LED_0805_2012Metric_Pad1.15.. 72.5000    -64.6875   72.5000    -65.7125      9.0    top       SMD
LD4           LED                 LED_0805_2012Metric_Pad1.15.. 151.0673   -45.7885   151.0673   -46.8135      9.0    top       SMD
LD5           LED_Small           LED_0805_2012Metric_Pad1.15.. 72.5000    -78.7875   72.5000    -77.7625     -9.0    top       SMD
LD6           LED                 LED_0805_2012Metric_Pad1.15.. 154.5454   -77.0385   154.5454   -78.0635      9.0    top       SMD
Q1            MMBT2222A           SOT-23_Handsoldering          146.3173   -50.2885   147.2673   -48.7885     -9.0    top       SMD
Q2            MMBT2222A           SOT-23_Handsoldering          148.8204   -81.2135   149.7704   -79.7135     -9.0    top       SMD
Q3            MMBT2222A           SOT-23_Handsoldering          131.5190   -82.5510   132.4690   -81.0510     -9.0    top       SMD
Q4            MMBT2222A           SOT-23_Handsoldering          123.7190   -82.4135   124.6690   -80.9135     -9.0    top       SMD
Q5            MMBT2222A           SOT-23_Handsoldering          116.2190   -82.4135   117.1690   -80.9135     -9.0    top       SMD
Q6            MMBT2222A           SOT-23_Handsoldering          116.1595   -91.4135   115.2095   -92.9135      9.0    top       SMD
Q7            MMBT2222A           SOT-23_Handsoldering          123.6833   -91.4135   122.7333   -92.9135      9.0    top       SMD
Q8            MMBT2222A           SOT-23_Handsoldering          139.6190   -82.5510   140.5690   -81.0510     -9.0    top       SMD
Q9            MMBT2222A           SOT-23_Handsoldering          131.5000   -91.4135   130.5500   -92.9135      9.0    top       SMD
Q10           MMBT2222A           SOT-23_Handsoldering          139.5881   -91.4135   138.6381   -92.9135      9.0    top       SMD
Q11           MMBT2222A           SOT-23_Handsoldering          131.8173   -52.5135   132.7673   -51.0135     -9.0    top       SMD
Q12           MMBT2222A           SOT-23_Handsoldering          123.8173   -52.5760   124.7673   -51.0760     -9.0    top       SMD
Q13           MMBT2222A           SOT-23_Handsoldering          115.8173   -52.5760   116.7673   -51.0760     -9.0    top       SMD
Q14           MMBT2222A           SOT-23_Handsoldering          115.8173   -60.8885   114.8673   -62.3885      9.0    top       SMD
Q15           MMBT2222A           SOT-23_Handsoldering          123.8173   -60.8885   122.8673   -62.3885      9.0    top       SMD
Q16           MMBT2222A           SOT-23_Handsoldering          139.8673   -52.5135   140.8173   -51.0135     -9.0    top       SMD
Q17           MMBT2222A           SOT-23_Handsoldering          131.8173   -60.8885   130.8673   -62.3885      9.0    top       SMD
Q18           MMBT2222A           SOT-23_Handsoldering          139.8173   -60.8885   138.8673   -62.3885      9.0    top       SMD
R1            3.3k                R_0805_2012Metric_Pad1.20x1.. 72.7000    -100.8500  72.7000    -99.8500     -9.0    top       SMD
R2            5.1k                R_0805_2012Metric_Pad1.20x1.. 72.5000    -54.6500   72.5000    -53.6500     -9.0    top       SMD
R3            5.1k                R_0805_2012Metric_Pad1.20x1.. 72.5000    -69.0500   72.5000    -68.0500     -9.0    top       SMD
R4            5.1k                R_0805_2012Metric_Pad1.20x1.. 72.5000    -83.0500   72.5000    -84.0500      9.0    top       SMD
R5            3.3k                R_0805_2012Metric_Pad1.20x1.. 151.0673   -50.2885   151.0673   -51.2885      9.0    top       SMD
R6            22k                 R_0805_2012Metric_Pad1.20x1.. 147.3173   -45.7885   147.3173   -44.7885     -9.0    top       SMD
R7            0                   R_0805_2012Metric_Pad1.20x1.. 135.9125   -121.0000  136.9125   -121.0000    18.0    top       SMD
R8            3.3k                R_0805_2012Metric_Pad1.20x1.. 154.5204   -82.2635   154.5204   -83.2635      9.0    top       SMD
